, 1632
并, 4
一系列, 4
许多, 4
长期, 4
具有, 4
面临, 4
突出, 4
保证, 4
不少, 4
群众, 4
特别, 4
科技, 4
近代, 4
起来, 4
主要矛盾, 4
总体, 4
这, 4
发展史, 4
一百年, 4
富强, 4
党和人民, 4
开放, 4
能, 4
特, 4
色, 4
美丽, 4
年, 4
自我, 4
再, 4
代表, 3
：, 3
十分, 3
伟大胜利, 3
幸福, 3
激励, 3
动力, 3
一定, 3
作为, 3
永不, 3
姿态, 3
继续, 3
国内外, 3
形势, 3
正在, 3
发生, 3
奋力, 3
进程, 3
规划, 3
从严治党, 3
五位一体, 3
四个, 3
观念, 3
方式, 3
质量, 3
效益, 3
增长, 3
展, 3
推, 3
进, 3
农业, 3
达到, 3
一带, 3
一路, 3
驱动, 3
逐步, 3
破除, 3
突, 3
举措, 3
进展, 3
主体, 3
确立, 3
迈出, 3
步伐, 3
当家作主, 3
依法, 3
增, 3
正, 3
大幅, 3
想, 3
中心, 3
决定性, 3
就业, 3
建立, 3
健康, 3
大局, 3
环境保护, 3
改变, 3
加快, 3
作风, 3
管, 3
之, 3
分裂, 3
全方位, 3
良好, 3
外部, 3
共同体, 3
建, 3
管党, 3
活动, 3
执政, 3
出, 3
构筑, 3
巨大, 3
没有, 3
存在, 3
家, 3
提供, 3
还, 3
分, 3
差距, 3
依然, 3
同胞, 3
路, 3
那时, 3
综合国力, 3
民, 3
意味着, 3
给, 3
既, 3
自身, 3
现, 3
历, 3
(, 3
), 3
历史使命, 3
马克思列宁主义, 3
结合, 3
由, 3
进步, 3
使, 3
付出, 3
错误, 3
更为, 3
行为, 3
祖国, 3
各种, 3
就是, 3
必然, 3
马克思, 3
引领, 3
伟大事业, 3
伟, 3
方略, 3
系统, 3
统, 3
规律, 3
本世纪, 3
现代, 3
新型, 3
各项, 3
践行, 3
持久, 3
树立, 3
有所, 3
安排, 3
习近平, 2
第十八届, 2
十九, 2
报告, 2
现在, 2
我, 2
作, 2
小康, 2
开, 2
主题, 2
不忘, 2
伟大旗帜, 2
不懈, 2
全党同志, 2
永远, 2
与, 2
生, 2
向往, 2
懈怠, 2
前进, 2
复杂, 2
前景, 2
光明, 2
居安思危, 2
僵化, 2
过去, 2
常态, 2
系列, 2
稳中求进, 2
基调, 2
召开, 2
转变, 2
制定, 2
十三, 2
五, 2
部署, 2
胜利, 2
十, 2
顺利, 2
局面, 2
坚, 2
决, 2
国内, 2
亿元, 2
稳居, 2
超过, 2
基础设施, 2
稳步, 2
生产能力, 2
年均, 2
协同, 2
成效显著, 2
大力, 2
开放型, 2
改, 2
革, 2
弊端, 2
发力, 2
破, 2
着力, 2
拓展, 2
推出, 2
项, 2
协商, 2
展开, 2
爱国统一战线, 2
全民, 2
试点, 2
行政, 2
司法, 2
运行, 2
制约, 2
监督, 2
重大进展, 2
鲜明, 2
心, 2
价值观, 2
优秀, 2
传统, 2
精神文明, 2
开展, 2
不断完善, 2
彰显, 2
软, 2
中华文化, 2
影响力, 2
思, 2
获得, 2
感, 2
攻坚战, 2
下降, 2
农村, 2
以上, 2
城乡居民, 2
增速, 2
中等, 2
群体, 2
覆盖, 2
保, 2
持, 2
成, 2
节约资源, 2
引导, 2
贡献者, 2
军事, 2
会议, 2
发扬, 2
突破, 2
维, 2
任务, 2
准备, 2
军, 2
新进展, 2
准确, 2
方, 2
宪法, 2
治权, 2
交流, 2
九二, 2
共识, 2
两岸关系, 2
会晤, 2
共建, 2
峰会, 2
设, 2
尊崇, 2
党章, 2
大局意识, 2
看齐, 2
权威, 2
集中统一, 2
严明, 2
纪律, 2
群众路线, 2
三严, 2
做, 2
党性, 2
时期, 2
好, 2
明显好转, 2
着, 2
强烈, 2
最大, 2
出台, 2
巡视, 2
反腐败, 2
零, 2
容忍, 2
腐, 2
担当, 2
难题, 2
办成, 2
多, 2
这些, 2
考验, 2
顽强, 2
消除, 2
内部, 2
战斗力, 2
焕发, 2
生机, 2
同时, 2
看到, 2
困难, 2
一些, 2
有待, 2
短板, 2
攻坚, 2
城乡, 2
结果, 2
行政区, 2
以及, 2
支持, 2
各国, 2
前所未有, 2
族, 2
努力, 2
迎来, 2
二十一, 2
世纪, 2
走向, 2
全新, 2
选择, 2
贡献, 2
智慧, 2
中华儿女, 2
同心, 2
日益, 2
转化, 2
之间, 2
温饱, 2
满足, 2
因素, 2
关系, 2
文, 2
共, 2
重大意义, 2
让, 2
展现出, 2
生命力, 2
外来, 2
独立, 2
解放, 2
主心骨, 2
明, 2
为了, 2
成立, 2
共产主义, 2
谱写, 2
壮丽, 2
正确, 2
飞跃, 2
先进, 2
代, 2
潮流, 2
奋勇前进, 2
无论是, 2
还是, 2
敢于, 2
修正, 2
攻克, 2
任何, 2
艰, 2
党要, 2
损害, 2
利, 2
全部, 2
必, 2
全党全国, 2
定力, 2
起, 2
课题, 2
总任务, 2
方向, 2
分析, 2
毛泽东思想, 2
邓小平理论, 2
三个代表, 2
科, 2
学, 2
求, 2
真, 2
一支, 2
听党, 2
指挥, 2
打胜仗, 2
优良, 2
本质, 2
继承, 2
丰富, 2
贯彻落实, 2
定, 2
确, 2
宗旨, 2
治国, 2
理政, 2
之中, 2
只有, 2
吸收, 2
四, 2
关键, 2
共享, 2
毫不动摇, 2
动, 2
参与, 2
自治, 2
对待, 2
生态环境, 2
生产, 2
安全观, 2
军民, 2
融合, 2
秩序, 2
综合, 2
可, 2
建党, 2
净化, 2
没有止境, 2
每时每刻, 2
发生变化, 2
开启, 2
征程, 2
时, 2
期, 2
第一个, 2
百年, 2
第二个, 2
中叶, 2
三五年, 2
十五年, 2
平等, 2
影, 2
中央委员会, 1
大作, 1
【, 1
】, 1
中央委员, 1
第十九次, 1
全国代表大会, 1
关键时期, 1
召, 1
一次, 1
牢记, 1
高举, 1
方得, 1
不断前进, 1
同呼吸, 1
共命运, 1
心连心, 1
美好, 1
活, 1
精神状态, 1
一往无前, 1
朝着, 1
宏伟目标, 1
奋, 1
勇, 1
当前, 1
仍, 1
处于, 1
机遇期, 1
严峻, 1
登高望远, 1
勇于创新, 1
停滞, 1
2, 1
中极, 1
平凡, 1
复苏, 1
乏力, 1
局部, 1
冲突, 1
动荡, 1
频发, 1
加剧, 1
外部环境, 1
迎难而上, 1
开拓进取, 1
七次, 1
全会, 1
分别, 1
机构, 1
职能, 1
决定, 1
十二五, 1
三五, 1
重大成就, 1
端正, 1
高速, 1
名列前茅, 1
产, 1
总值, 1
五十四万, 1
八十万, 1
第二, 1
贡献率, 1
百分之三十, 1
供给, 1
侧, 1
结构性, 1
结构, 1
优化, 1
数字, 1
新兴产业, 1
蓬勃, 1
高铁, 1
公路, 1
桥梁, 1
港口, 1
机场, 1
快速, 1
粮食, 1
一万二千, 1
亿斤, 1
城镇化率, 1
一点, 1
二个, 1
百分点, 1
八千, 1
多万, 1
转移, 1
人口, 1
城镇居民, 1
协调性, 1
京津冀, 1
长江, 1
经济带, 1
3, 1
创新型, 1
丰硕, 1
天宫, 1
蛟龙, 1
天, 1
眼, 1
悟空, 1
墨子, 1
飞机, 1
科技成果, 1
相继问世, 1
南海, 1
岛, 1
礁, 1
对外贸易, 1
对外, 1
投资, 1
外汇储备, 1
重大突破, 1
蹄, 1
疾步, 1
稳, 1
多点, 1
纵深, 1
系统性, 1
整体性, 1
压, 1
茬, 1
广度, 1
深度, 1
一千五百多, 1
关键环节, 1
突破性, 1
框, 1
架, 1
系, 1
明显提高, 1
明显增强, 1
完, 1
善, 1
民族宗教, 1
立法, 1
严格执法, 1
公正司法, 1
守法, 1
相互促进, 1
日益完善, 1
监察, 1
取得实效, 1
权力, 1
4, 1
弘扬, 1
群, 1
众性, 1
创建活动, 1
扎实, 1
公共, 1
服务水平, 1
提, 1
文艺创作, 1
文化产业, 1
蓬勃发展, 1
互, 1
联网, 1
管理, 1
运用, 1
健身, 1
竞技, 1
体育, 1
主旋律, 1
响亮, 1
能量, 1
强劲, 1
一大批, 1
惠民, 1
落地, 1
六千多万, 1
贫困人口, 1
贫困, 1
发生率, 1
百分之十点, 1
百分之四, 1
以下, 1
中西部, 1
城, 1
镇, 1
新增, 1
一千三百, 1
万人, 1
扩大, 1
障, 1
医疗卫生, 1
大幅提高, 1
住房, 1
力度, 1
自觉性, 1
主动性, 1
忽视, 1
形, 1
功能区, 1
公园, 1
能源, 1
资源, 1
消耗, 1
强度, 1
保护, 1
修复, 1
工程, 1
森林, 1
覆盖率, 1
5, 1
环境治理, 1
气候变化, 1
参与者, 1
引领者, 1
兴军开, 1
着眼于, 1
新形势下, 1
战略方针, 1
全力, 1
古田, 1
全军, 1
恢复, 1
我党我军, 1
光荣传统, 1
优, 1
良, 1
军委, 1
战区, 1
主战, 1
军种, 1
建新, 1
格, 1
局, 1
组织, 1
架构, 1
革命性, 1
重塑, 1
练, 1
兵, 1
备战, 1
遂行, 1
海上, 1
维权, 1
反恐, 1
维稳, 1
抢险救灾, 1
亚丁湾, 1
护航, 1
人道主义, 1
救援, 1
武器装备, 1
路上, 1
港澳台, 1
针, 1
牢牢, 1
掌握, 1
基本法, 1
赋予, 1
内地, 1
港澳地区, 1
平, 1
文化交流, 1
妥善, 1
台湾, 1
局势, 1
遏制, 1
台独, 1
势力, 1
有力, 1
台海, 1
国外, 1
交, 1
多层次, 1
立体化, 1
营造, 1
倡议, 1
发起, 1
办, 1
亚洲, 1
投资银行, 1
设立, 1
丝路, 1
基金, 1
举办, 1
首届, 1
6, 1
高峰论坛, 1
亚太经合组织, 1
非正式, 1
十国集团, 1
杭州, 1
金砖, 1
厦门, 1
亚, 1
信, 1
倡导, 1
感召力, 1
塑造, 1
进一步提高, 1
重大贡献, 1
成效, 1
卓著, 1
宽, 1
松软, 1
规矩, 1
层层落实, 1
政治责任, 1
照镜子, 1
衣冠, 1
洗洗澡, 1
治病, 1
专题, 1
两学, 1
学习, 1
制度化, 1
理想信念, 1
干部, 1
标准, 1
选人, 1
用人, 1
风气, 1
深, 1
入, 1
法规, 1
挺, 1
前面, 1
群众反映, 1
对党, 1
威胁, 1
八项, 1
规定, 1
严厉, 1
整治, 1
形式主义, 1
官僚主义, 1
享乐主义, 1
奢靡, 1
之风, 1
特权, 1
利剑, 1
省级, 1
党委, 1
无, 1
禁区, 1
全覆, 1
盖, 1
打虎, 1
拍蝇, 1
猎狐, 1
敢腐, 1
初步, 1
不能, 1
笼子, 1
越扎, 1
越牢, 1
不想, 1
堤, 1
坝, 1
压倒性, 1
态势, 1
开创性, 1
7, 1
深层次, 1
根本性, 1
党以, 1
勇气, 1
责任, 1
新理念, 1
方针政策, 1
许, 1
想办, 1
大事, 1
深远, 1
影响, 1
内存, 1
意志品质, 1
正风肃纪, 1
反腐, 1
惩恶, 1
严重, 1
隐患, 1
气象, 1
更新, 1
创造力, 1
凝聚力, 1
党群关系, 1
明显改善, 1
党在革, 1
命性, 1
锻造, 1
出新, 1
党和国, 1
清醒, 1
不足, 1
尚未, 1
创新能力, 1
不够, 1
实体, 1
任重道远, 1
还有, 1
任务艰巨, 1
配, 1
较大, 1
医疗, 1
居住, 1
养老, 1
尚需, 1
问, 1
题, 1
交织, 1
叠加, 1
繁重, 1
情况, 1
政策措施, 1
进一步, 1
落, 1
8, 1
薄弱环节, 1
加以解决, 1
更是, 1
共同奋斗, 1
中共中央, 1
各族, 1
民主党派, 1
人民团体, 1
各界, 1
爱国人士, 1
澳门特别行政区, 1
台湾同胞, 1
广大, 1
侨胞, 1
关心, 1
朋友, 1
表示, 1
衷心, 1
感谢, 1
之初, 1
发出, 1
自己, 1
号召, 1
队, 1
正以, 1
崭新, 1
屹立, 1
于, 1
东方, 1
经过, 1
这是, 1
方位, 1
久经, 1
磨, 1
难, 1
站, 1
富, 1
飞, 1
跃, 1
高高, 1
举起, 1
途径, 1
那些, 1
希望, 1
希, 1
9, 1
望, 1
独立性, 1
类, 1
方案, 1
承前启后, 1
继往开来, 1
下, 1
进而, 1
团结奋斗, 1
勠, 1
走近, 1
舞, 1
台, 1
更大, 1
十几亿, 1
不久, 1
不仅, 1
物质, 1
而且, 1
在民, 1
公平, 1
正义, 1
生产力, 1
很多, 1
全局, 1
史性, 1
继, 1
续, 1
10, 1
全面进步, 1
中华人民, 1
和国, 1
坚定信心, 1
奋发有为, 1
前, 1
十月革命, 1
一声, 1
炮响, 1
送来, 1
马克思列, 1
宁, 1
先进分子, 1
真理, 1
出路, 1
以后, 1
剧烈运动, 1
反抗, 1
封建统治, 1
侵略, 1
激烈, 1
同, 1
工人运动, 1
过程, 1
一九二, 1
一年, 1
应运而生, 1
从此, 1
谋求, 1
被动, 1
转为, 1
主动, 1
五千多年, 1
灿烂, 1
卓越贡献, 1
鸦片, 1
战争, 1
后, 1
陷入, 1
内忧外患, 1
黑暗, 1
境地, 1
经历, 1
战, 1
乱, 1
频仍, 1
山河破碎, 1
民不聊生, 1
深重, 1
苦难, 1
无数, 1
仁人志士, 1
不屈不挠, 1
前仆后继, 1
可歌可泣, 1
各式各样, 1
尝试, 1
但, 1
终究, 1
未能, 1
旧, 1
性质, 1
悲惨, 1
一经, 1
11, 1
理想, 1
最终目标, 1
义无反顾, 1
肩负起, 1
艰苦卓绝, 1
气吞山河, 1
史诗, 1
推翻, 1
压在, 1
头上, 1
帝国主义, 1
封建主义, 1
官僚资本主义, 1
座, 1
大山, 1
找到, 1
一条, 1
包围, 1
城市, 1
武装, 1
政权, 1
革命道路, 1
二十八年, 1
浴血奋战, 1
民主主义, 1
一九四九年, 1
中华人民共和国, 1
几千年, 1
封建, 1
专制政治, 1
符合, 1
实际, 1
社会制度, 1
有史以来, 1
最为, 1
社会变革, 1
当, 1
奠定, 1
前提, 1
衰落, 1
扭转, 1
合乎, 1
顺应, 1
意愿, 1
充满, 1
阻碍, 1
障碍, 1
开辟, 1
大踏步, 1
赶上, 1
九十六年, 1
12, 1
弱小, 1
顺境, 1
逆境, 1
不改, 1
矢志不渝, 1
历经, 1
千难万险, 1
牺, 1
牲, 1
曲折, 1
看似, 1
不可, 1
难关, 1
彪炳史册, 1
人间, 1
奇迹, 1
今天, 1
比, 1
接近, 1
信心, 1
行百里者半九十, 1
绝不, 1
轻轻松松, 1
敲锣打鼓, 1
艰巨, 1
苦, 1
运动, 1
抵御, 1
克服, 1
阻力, 1
矛, 1
盾, 1
特点, 1
贪图, 1
享受, 1
消极, 1
回避, 1
削弱, 1
歪曲, 1
否定, 1
言行, 1
脱, 1
离, 1
投身, 1
除, 1
顽, 1
瘴, 1
痼疾, 1
主权, 1
益, 1
破坏, 1
民族团结, 1
防范, 1
战胜, 1
自然界, 1
出现, 1
充分认识, 1
这场, 1
长期性, 1
复杂性, 1
艰巨性, 1
13, 1
本领, 1
证明, 1
空想, 1
先锋, 1
脊梁, 1
执政党, 1
过硬, 1
直面, 1
刮骨, 1
疗毒, 1
先, 1
进性, 1
纯洁性, 1
清除, 1
侵蚀, 1
肌体, 1
病毒, 1
领导力, 1
群众组织, 1
号召力, 1
党永葆, 1
旺盛, 1
尽, 1
千辛万苦, 1
代价, 1
理论体系, 1
当代, 1
精神力量, 1
自, 1
觉地, 1
封闭, 1
老路, 1
改旗易帜, 1
邪路, 1
实干, 1
兴邦, 1
紧密联系, 1
相互, 1
贯通, 1
相互作用, 1
其中, 1
14, 1
程中, 1
史, 1
历史进程, 1
领导核心, 1
呼唤, 1
未来, 1
不负, 1
重托, 1
无愧, 1
以党, 1
断, 1
奋进, 1
凝聚, 1
共筑, 1
磅礴, 1
各项事业, 1
结, 1
合, 1
回答, 1
什么样, 1
怎样, 1
包括, 1
步骤, 1
条, 1
件, 1
并且, 1
根据, 1
宗教, 1
统一战线, 1
和政, 1
策, 1
以利于, 1
围绕, 1
列宁, 1
发展观, 1
解放思想, 1
实事求是, 1
与时俱进, 1
务实, 1
辩证唯物主义, 1
历史唯物主义, 1
紧密结合, 1
15, 1
视野, 1
共产党, 1
规, 1
律, 1
辛, 1
探索, 1
两步走, 1
叶, 1
强调, 1
一流, 1
大国, 1
特征, 1
优势, 1
最高, 1
16, 1
展观, 1
中国化, 1
最新, 1
实践经验, 1
集体, 1
结晶, 1
组成部分, 1
行动指南, 1
深刻领会, 1
精神实质, 1
内涵, 1
党政军民, 1
东西, 1
南, 1
北中, 1
核, 1
在思想上, 1
行动, 1
上同, 1
高度一致, 1
政策, 1
促, 1
保党, 1
总揽全局, 1
各方, 1
创造者, 1
前途, 1
立党为公, 1
执政为民, 1
全心全意, 1
服务, 1
民对, 1
依靠人民, 1
业, 1
才能救, 1
才能, 1
17, 1
不合时宜, 1
固化, 1
藩篱, 1
人类文明, 1
有益, 1
完备, 1
科学规范, 1
充分发挥, 1
优越性, 1
基, 1
础, 1
分配制度, 1
公, 1
有制, 1
鼓励, 1
非公有制, 1
市场, 1
资源配置, 1
中起, 1
发挥, 1
工业化, 1
信息化, 1
城镇化, 1
同步, 1
全球化, 1
高层次, 1
经, 1
济, 1
壮大, 1
当家, 1
须, 1
表, 1
多党合作, 1
政治协商, 1
民族区域, 1
基层, 1
形式, 1
拓宽, 1
渠道, 1
落实, 1
到国, 1
六, 1
18, 1
全过程, 1
法, 1
法律, 1
依法行政, 1
德治国, 1
相结合, 1
依规, 1
素养, 1
道德素质, 1
七, 1
价值体系, 1
深沉, 1
牢固, 1
远大理想, 1
共同理想, 1
培育, 1
主导权, 1
话语权, 1
造性, 1
创新性, 1
不忘本, 1
面向未来, 1
价值, 1
指引, 1
八, 1
增进, 1
福祉, 1
目的, 1
多谋, 1
多解, 1
之忧, 1
展中, 1
补齐, 1
公平正义, 1
幼, 1
育, 1
学有, 1
所教, 1
劳有所得, 1
病有所医, 1
老有所养, 1
住, 1
居, 1
弱, 1
扶上, 1
深入开展, 1
中有, 1
平安, 1
护, 1
长治久安, 1
安居乐业, 1
掌, 1
19, 1
声, 1
九, 1
人与自然, 1
共生, 1
永续, 1
千年, 1
大计, 1
绿水青山, 1
金山, 1
银山, 1
保护环境, 1
基本国策, 1
像, 1
生命, 1
一样, 1
山水, 1
林田, 1
湖草, 1
实行, 1
严格, 1
式, 1
生活富裕, 1
作出贡献, 1
忧, 1
患, 1
做到, 1
至上, 1
国土, 1
国民, 1
传, 1
非传统, 1
国家主权, 1
安, 1
十一, 1
绝对, 1
一百, 1
支撑, 1
面, 1
新时, 1
代党, 1
建军, 1
兴军, 1
治军, 1
聚焦, 1
实战, 1
集约, 1
高效, 1
20, 1
十二, 1
祖国统一, 1
完全, 1
区, 1
高度自治权, 1
方针, 1
不会, 1
变, 1
动摇, 1
变形, 1
走样, 1
往来, 1
想同, 1
息息相通, 1
离不开, 1
际, 1
始, 1
终不渝走, 1
奉行, 1
互利, 1
赢, 1
义利观, 1
包容, 1
互惠, 1
发展前景, 1
和而不同, 1
兼收, 1
蓄, 1
自然, 1
建设者, 1
者, 1
十四, 1
从严, 1
品格, 1
遵循, 1
摆在首位, 1
同向, 1
筹, 1
抓住, 1
少数, 1
三实, 1
民主集中制, 1
严肃, 1
党的纪律, 1
强化, 1
内政, 1
21, 1
纠正, 1
不正之风, 1
态度, 1
惩治腐败, 1
自我完善, 1
革新, 1
始终保持, 1
党同, 1
血肉, 1
联系, 1
十四条, 1
构成, 1
党的基本, 1
线, 1
在理, 1
论上, 1
跟上, 1
其他, 1
之母, 1
之源, 1
只要, 1
善于, 1
聆听, 1
声音, 1
坚持真理, 1
能够, 1
说服力, 1
理, 1
代化, 1
之后, 1
三步走, 1
战略目标, 1
小康水平, 1
已, 1
提前, 1
个, 1
科教, 1
谐, 1
殷实, 1
然后, 1
三十年, 1
22, 1
按照, 1
十六大, 1
十七, 1
紧扣, 1
教, 1
兴国, 1
人才, 1
乡村, 1
振兴, 1
抓, 1
重点, 1
补短, 1
板, 1
强弱, 1
打好防, 1
范, 1
化解, 1
精准, 1
污染, 1
防治, 1
认可, 1
经得起, 1
检验, 1
大到, 1
二十大, 1
交汇, 1
乘势而上, 1
新征, 1
程, 1
进军, 1
国内形势, 1
可以, 1
跃升, 1
跻身, 1
权利, 1
程度, 1
高度, 1
响, 1
宽裕, 1
比例, 1
显, 1
居民, 1
缩小, 1
23, 1
公共服务, 1
均等化, 1
坚实, 1
格局, 1
充满活力, 1
序, 1
根本好转, 1
物质文明, 1
政治文明, 1
响力, 1
领先, 1
享有, 1
安康, 1
昂扬, 1
屹, 1
立于, 1
民族之林, 1
坚忍不拔, 1
锲而不舍, 1
篇章, 1
